transaction_id,date,category,description,amount,payment_method,month,day_of_week,day_type
TXN100933,2025-09-29,Transportation,Fuel,26.91,Credit Card,2025-09,Monday,Weekday
TXN100044,2025-09-30,Transportation,Metro,23.16,UPI,2025-09,Tuesday,Weekday
TXN100640,2025-10-01,Shopping,Shoes,94.81,UPI,2025-10,Wednesday,Weekday
TXN100703,2025-10-02,Food & Dining,Fast food,20.37,Credit Card,2025-10,Thursday,Weekday
TXN100917,2025-10-02,Food & Dining,Fast food,24.33,Credit Card,2025-10,Thursday,Weekday
TXN100765,2025-10-02,Entertainment,Games,17.86,Credit Card,2025-10,Thursday,Weekday
TXN100945,2025-10-02,Healthcare,Pharmacy,3.03,Credit Card,2025-10,Thursday,Weekday
TXN100958,2025-10-03,Miscellaneous,Donation,46.13,Credit Card,2025-10,Friday,Weekday
TXN100254,2025-10-03,Food & Dining,Restaurant,37.27,Debit Card,2025-10,Friday,Weekday
TXN100417,2025-10-03,Entertainment,Streaming,42.35,UPI,2025-10,Friday,Weekday
TXN100942,2025-10-03,Miscellaneous,Other,13.13,Debit Card,2025-10,Friday,Weekday
TXN100364,2025-10-03,Personal Care,Spa,41.64,Debit Card,2025-10,Friday,Weekday
TXN100355,2025-10-03,Transportation,Metro,3.1,Net Banking,2025-10,Friday,Weekday
TXN100218,2025-10-03,Groceries,Supermarket,91.41,UPI,2025-10,Friday,Weekday
TXN100886,2025-10-03,Food & Dining,Restaurant,35.26,Debit Card,2025-10,Friday,Weekday
TXN100383,2025-10-04,Food & Dining,Coffee,40.14,Debit Card,2025-10,Saturday,Weekend
TXN100795,2025-10-04,Entertainment,Movie,32.51,UPI,2025-10,Saturday,Weekend
TXN100558,2025-10-04,Bills & Utilities,Phone,141.32,UPI,2025-10,Saturday,Weekend
TXN100577,2025-10-04,Shopping,Clothing,26.65,Credit Card,2025-10,Saturday,Weekend
TXN100778,2025-10-04,Miscellaneous,Other,23.03,Debit Card,2025-10,Saturday,Weekend
TXN100298,2025-10-05,Miscellaneous,Gift,38.1,Credit Card,2025-10,Sunday,Weekend
TXN100366,2025-10-05,Food & Dining,Coffee,9.33,Credit Card,2025-10,Sunday,Weekend
TXN100136,2025-10-05,Groceries,Supermarket,61.2,Cash,2025-10,Sunday,Weekend
TXN100935,2025-10-07,Groceries,Dairy,84.17,Credit Card,2025-10,Tuesday,Weekday
TXN100077,2025-10-07,Food & Dining,Fast food,36.34,Net Banking,2025-10,Tuesday,Weekday
TXN100578,2025-10-07,Transportation,Taxi,18.92,Credit Card,2025-10,Tuesday,Weekday
TXN100908,2025-10-07,Miscellaneous,Donation,61.92,Debit Card,2025-10,Tuesday,Weekday
TXN100217,2025-10-08,Miscellaneous,Other,23.81,Debit Card,2025-10,Wednesday,Weekday
TXN100897,2025-10-09,Groceries,Dairy,106.23,Cash,2025-10,Thursday,Weekday
TXN100406,2025-10-09,Groceries,Dairy,91.17,Debit Card,2025-10,Thursday,Weekday
TXN100747,2025-10-10,Shopping,Electronics,2.0,Cash,2025-10,Friday,Weekday
TXN100088,2025-10-10,Transportation,Taxi,12.29,Debit Card,2025-10,Friday,Weekday
TXN100705,2025-10-10,Bills & Utilities,Phone,224.42,UPI,2025-10,Friday,Weekday
TXN100198,2025-10-11,Groceries,Vegetables,117.4,UPI,2025-10,Saturday,Weekend
TXN100372,2025-10-11,Shopping,Clothing,71.33,Cash,2025-10,Saturday,Weekend
TXN100293,2025-10-11,Shopping,Electronics,49.01,UPI,2025-10,Saturday,Weekend
TXN100916,2025-10-11,Bills & Utilities,Phone,82.46,Debit Card,2025-10,Saturday,Weekend
TXN100418,2025-10-11,Transportation,Metro,10.46,Debit Card,2025-10,Saturday,Weekend
TXN100989,2025-10-12,Shopping,Clothing,17.35,Cash,2025-10,Sunday,Weekend
TXN100536,2025-10-12,Miscellaneous,Other,19.48,Cash,2025-10,Sunday,Weekend
TXN100330,2025-10-12,Food & Dining,Fast food,27.57,Credit Card,2025-10,Sunday,Weekend
TXN100980,2025-10-12,Entertainment,Games,38.69,Credit Card,2025-10,Sunday,Weekend
TXN100870,2025-10-12,Healthcare,Doctor,53.61,Credit Card,2025-10,Sunday,Weekend
TXN100408,2025-10-13,Groceries,Supermarket,63.8,UPI,2025-10,Monday,Weekday
TXN100050,2025-10-13,Food & Dining,Coffee,23.84,Net Banking,2025-10,Monday,Weekday
TXN100888,2025-10-13,Food & Dining,Lunch,15.14,Credit Card,2025-10,Monday,Weekday
TXN100653,2025-10-13,Bills & Utilities,Electricity,76.86,Cash,2025-10,Monday,Weekday
TXN100573,2025-10-15,Entertainment,Movie,18.67,Debit Card,2025-10,Wednesday,Weekday
TXN100586,2025-10-15,Entertainment,Games,63.24,UPI,2025-10,Wednesday,Weekday
TXN100420,2025-10-15,Food & Dining,Coffee,30.91,Debit Card,2025-10,Wednesday,Weekday
TXN100982,2025-10-16,Transportation,Uber,23.36,UPI,2025-10,Thursday,Weekday
TXN100370,2025-10-16,Bills & Utilities,Electricity,116.97,Credit Card,2025-10,Thursday,Weekday
TXN100287,2025-10-16,Rent,Monthly rent,797.7,Credit Card,2025-10,Thursday,Weekday
TXN100812,2025-10-16,Personal Care,Spa,13.73,Net Banking,2025-10,Thursday,Weekday
TXN100960,2025-10-16,Food & Dining,Coffee,39.67,Debit Card,2025-10,Thursday,Weekday
TXN100915,2025-10-17,Transportation,Uber,2.0,Debit Card,2025-10,Friday,Weekday
TXN100350,2025-10-18,Bills & Utilities,Phone,151.56,Debit Card,2025-10,Saturday,Weekend
TXN100051,2025-10-18,Entertainment,Streaming,54.37,Debit Card,2025-10,Saturday,Weekend
TXN100269,2025-10-18,Miscellaneous,Donation,66.09,Credit Card,2025-10,Saturday,Weekend
TXN100749,2025-10-19,Groceries,Dairy,84.77,Debit Card,2025-10,Sunday,Weekend
TXN100448,2025-10-19,Entertainment,Movie,50.09,Debit Card,2025-10,Sunday,Weekend
TXN100108,2025-10-19,Food & Dining,Restaurant,39.17,Credit Card,2025-10,Sunday,Weekend
TXN100806,2025-10-19,Education,Tuition,78.86,Credit Card,2025-10,Sunday,Weekend
TXN100139,2025-10-19,Food & Dining,Restaurant,2.6,UPI,2025-10,Sunday,Weekend
TXN100203,2025-10-20,Food & Dining,Fast food,22.24,Debit Card,2025-10,Monday,Weekday
TXN100952,2025-10-20,Transportation,Uber,13.72,Net Banking,2025-10,Monday,Weekday
TXN100661,2025-10-20,Transportation,Fuel,21.61,Credit Card,2025-10,Monday,Weekday
TXN100261,2025-10-20,Food & Dining,Coffee,30.66,Credit Card,2025-10,Monday,Weekday
TXN100175,2025-10-20,Food & Dining,Restaurant,44.53,Net Banking,2025-10,Monday,Weekday
TXN100941,2025-10-21,Bills & Utilities,Electricity,6.61,Cash,2025-10,Tuesday,Weekday
TXN100937,2025-10-21,Food & Dining,Fast food,28.91,UPI,2025-10,Tuesday,Weekday
TXN100772,2025-10-22,Transportation,Uber,28.52,Debit Card,2025-10,Wednesday,Weekday
TXN100647,2025-10-23,Transportation,Metro,19.93,Credit Card,2025-10,Thursday,Weekday
TXN100787,2025-10-23,Entertainment,Games,43.9,UPI,2025-10,Thursday,Weekday
TXN100049,2025-10-24,Groceries,Dairy,57.96,Credit Card,2025-10,Friday,Weekday
TXN100119,2025-10-25,Transportation,Metro,20.35,Cash,2025-10,Saturday,Weekend
TXN100291,2025-10-26,Food & Dining,Coffee,92.83,Cash,2025-10,Sunday,Weekend
TXN100061,2025-10-27,Entertainment,Movie,6.28,Cash,2025-10,Monday,Weekday
TXN100770,2025-10-27,Food & Dining,Lunch,19.31,Cash,2025-10,Monday,Weekday
TXN100212,2025-10-27,Groceries,Supermarket,88.51,Debit Card,2025-10,Monday,Weekday
TXN100196,2025-10-27,Bills & Utilities,Electricity,146.37,Credit Card,2025-10,Monday,Weekday
TXN100895,2025-10-27,Miscellaneous,Donation,21.82,Debit Card,2025-10,Monday,Weekday
TXN100823,2025-10-28,Food & Dining,Restaurant,26.4,Debit Card,2025-10,Tuesday,Weekday
TXN100151,2025-10-29,Groceries,Dairy,70.8,Net Banking,2025-10,Wednesday,Weekday
TXN100155,2025-10-29,Shopping,Electronics,109.04,Cash,2025-10,Wednesday,Weekday
TXN100780,2025-10-29,Healthcare,Pharmacy,147.09,Cash,2025-10,Wednesday,Weekday
TXN100990,2025-10-30,Entertainment,Streaming,59.94,Credit Card,2025-10,Thursday,Weekday
TXN100769,2025-10-30,Transportation,Metro,20.85,Debit Card,2025-10,Thursday,Weekday
TXN100263,2025-10-30,Groceries,Supermarket,43.25,Debit Card,2025-10,Thursday,Weekday
TXN100514,2025-10-30,Rent,Monthly rent,796.94,Net Banking,2025-10,Thursday,Weekday
TXN100226,2025-10-30,Transportation,Uber,29.47,UPI,2025-10,Thursday,Weekday
TXN100821,2025-10-31,Transportation,Uber,27.72,Net Banking,2025-10,Friday,Weekday
TXN100461,2025-10-31,Shopping,Clothing,134.29,Cash,2025-10,Friday,Weekday
TXN100576,2025-11-01,Shopping,Shoes,85.84,Credit Card,2025-11,Saturday,Weekend
TXN100512,2025-11-01,Personal Care,Gym,64.53,UPI,2025-11,Saturday,Weekend
TXN100887,2025-11-02,Transportation,Taxi,14.45,Cash,2025-11,Sunday,Weekend
TXN100022,2025-11-02,Shopping,Clothing,79.22,Credit Card,2025-11,Sunday,Weekend
TXN100387,2025-11-02,Entertainment,Movie,15.96,Cash,2025-11,Sunday,Weekend
TXN100164,2025-11-02,Food & Dining,Lunch,42.43,UPI,2025-11,Sunday,Weekend
TXN100866,2025-11-03,Healthcare,Doctor,47.54,Cash,2025-11,Monday,Weekday
TXN100329,2025-11-03,Entertainment,Streaming,2.4,UPI,2025-11,Monday,Weekday
TXN100901,2025-11-04,Bills & Utilities,Electricity,107.94,UPI,2025-11,Tuesday,Weekday
TXN100839,2025-11-04,Healthcare,Doctor,52.18,Credit Card,2025-11,Tuesday,Weekday
TXN100837,2025-11-04,Food & Dining,Fast food,32.49,UPI,2025-11,Tuesday,Weekday
TXN100102,2025-11-04,Miscellaneous,Donation,17.42,Net Banking,2025-11,Tuesday,Weekday
TXN100940,2025-11-04,Food & Dining,Fast food,31.54,Net Banking,2025-11,Tuesday,Weekday
TXN100603,2025-11-06,Food & Dining,Coffee,13.21,Net Banking,2025-11,Thursday,Weekday
TXN100272,2025-11-06,Shopping,Clothing,2.95,Credit Card,2025-11,Thursday,Weekday
TXN100699,2025-11-06,Transportation,Metro,3.36,Cash,2025-11,Thursday,Weekday
TXN100584,2025-11-06,Food & Dining,Fast food,27.65,Debit Card,2025-11,Thursday,Weekday
TXN100973,2025-11-06,Food & Dining,Fast food,25.09,Net Banking,2025-11,Thursday,Weekday
TXN100494,2025-11-07,Food & Dining,Coffee,10.2,Debit Card,2025-11,Friday,Weekday
TXN100678,2025-11-07,Food & Dining,Coffee,10.4,Debit Card,2025-11,Friday,Weekday
TXN100104,2025-11-07,Groceries,Supermarket,67.04,Debit Card,2025-11,Friday,Weekday
TXN100928,2025-11-07,Groceries,Dairy,12.06,Credit Card,2025-11,Friday,Weekday
TXN100134,2025-11-07,Groceries,Supermarket,105.54,Debit Card,2025-11,Friday,Weekday
TXN100669,2025-11-08,Groceries,Dairy,19.82,Credit Card,2025-11,Saturday,Weekend
TXN100522,2025-11-08,Food & Dining,Lunch,27.18,Debit Card,2025-11,Saturday,Weekend
TXN100608,2025-11-08,Shopping,Shoes,61.24,Debit Card,2025-11,Saturday,Weekend
TXN100184,2025-11-09,Transportation,Fuel,6.29,Credit Card,2025-11,Sunday,Weekend
TXN100398,2025-11-09,Transportation,Uber,12.89,Debit Card,2025-11,Sunday,Weekend
TXN100658,2025-11-10,Shopping,Electronics,15.34,Credit Card,2025-11,Monday,Weekday
TXN100642,2025-11-11,Transportation,Fuel,25.82,UPI,2025-11,Tuesday,Weekday
TXN100131,2025-11-11,Food & Dining,Restaurant,25.23,Credit Card,2025-11,Tuesday,Weekday
TXN100535,2025-11-11,Food & Dining,Restaurant,40.3,Credit Card,2025-11,Tuesday,Weekday
TXN100089,2025-11-12,Groceries,Dairy,61.61,Cash,2025-11,Wednesday,Weekday
TXN100561,2025-11-13,Shopping,Clothing,10.43,Cash,2025-11,Thursday,Weekday
TXN100656,2025-11-13,Transportation,Uber,27.5,Credit Card,2025-11,Thursday,Weekday
TXN100127,2025-11-13,Transportation,Taxi,14.44,Debit Card,2025-11,Thursday,Weekday
TXN100564,2025-11-13,Healthcare,Doctor,153.61,Net Banking,2025-11,Thursday,Weekday
TXN100950,2025-11-13,Groceries,Dairy,100.86,Debit Card,2025-11,Thursday,Weekday
TXN100066,2025-11-13,Transportation,Taxi,14.52,Cash,2025-11,Thursday,Weekday
TXN100922,2025-11-14,Transportation,Uber,5.35,Debit Card,2025-11,Friday,Weekday
TXN100065,2025-11-14,Groceries,Supermarket,97.87,Debit Card,2025-11,Friday,Weekday
TXN100240,2025-11-14,Miscellaneous,Donation,65.51,Net Banking,2025-11,Friday,Weekday
TXN100907,2025-11-14,Shopping,Clothing,35.24,Cash,2025-11,Friday,Weekday
TXN100602,2025-11-14,Shopping,Clothing,101.42,Net Banking,2025-11,Friday,Weekday
TXN100752,2025-11-15,Education,Tuition,108.45,Debit Card,2025-11,Saturday,Weekend
TXN100590,2025-11-15,Shopping,Shoes,10.44,Debit Card,2025-11,Saturday,Weekend
TXN100288,2025-11-15,Shopping,Clothing,82.85,Debit Card,2025-11,Saturday,Weekend
TXN100423,2025-11-15,Entertainment,Streaming,37.8,Debit Card,2025-11,Saturday,Weekend
TXN100005,2025-11-15,Miscellaneous,Gift,25.9,Cash,2025-11,Saturday,Weekend
TXN100375,2025-11-16,Transportation,Fuel,14.37,Credit Card,2025-11,Sunday,Weekend
TXN100524,2025-11-16,Entertainment,Streaming,41.48,Debit Card,2025-11,Sunday,Weekend
TXN100552,2025-11-17,Entertainment,Games,59.19,Cash,2025-11,Monday,Weekday
TXN100715,2025-11-17,Healthcare,Lab test,151.4,Credit Card,2025-11,Monday,Weekday
TXN100662,2025-11-17,Food & Dining,Coffee,31.07,Net Banking,2025-11,Monday,Weekday
TXN100351,2025-11-18,Transportation,Taxi,2.0,Cash,2025-11,Tuesday,Weekday
TXN100262,2025-11-18,Food & Dining,Lunch,23.31,Credit Card,2025-11,Tuesday,Weekday
TXN100685,2025-11-18,Food & Dining,Lunch,34.62,UPI,2025-11,Tuesday,Weekday
TXN100267,2025-11-18,Travel,Train,161.62,UPI,2025-11,Tuesday,Weekday
TXN100532,2025-11-19,Miscellaneous,Donation,8.49,Debit Card,2025-11,Wednesday,Weekday
TXN100452,2025-11-19,Shopping,Electronics,34.16,Credit Card,2025-11,Wednesday,Weekday
TXN100505,2025-11-19,Shopping,Clothing,29.92,Cash,2025-11,Wednesday,Weekday
TXN100004,2025-11-19,Transportation,Taxi,12.49,Credit Card,2025-11,Wednesday,Weekday
TXN100834,2025-11-20,Food & Dining,Restaurant,27.86,Debit Card,2025-11,Thursday,Weekday
TXN100693,2025-11-21,Transportation,Metro,2.0,UPI,2025-11,Friday,Weekday
TXN100235,2025-11-21,Transportation,Metro,12.25,Credit Card,2025-11,Friday,Weekday
TXN100431,2025-11-21,Miscellaneous,Other,51.89,Cash,2025-11,Friday,Weekday
TXN100025,2025-11-22,Groceries,Vegetables,104.71,Debit Card,2025-11,Saturday,Weekend
TXN100710,2025-11-22,Entertainment,Games,44.32,UPI,2025-11,Saturday,Weekend
TXN100148,2025-11-22,Personal Care,Spa,80.87,UPI,2025-11,Saturday,Weekend
TXN100865,2025-11-23,Food & Dining,Lunch,57.85,Credit Card,2025-11,Sunday,Weekend
TXN100738,2025-11-23,Transportation,Fuel,24.35,Debit Card,2025-11,Sunday,Weekend
TXN100379,2025-11-23,Entertainment,Games,6.89,Credit Card,2025-11,Sunday,Weekend
TXN100975,2025-11-24,Entertainment,Games,14.97,Credit Card,2025-11,Monday,Weekday
TXN100475,2025-11-26,Transportation,Metro,16.36,Cash,2025-11,Wednesday,Weekday
TXN100953,2025-11-27,Transportation,Fuel,9.39,Credit Card,2025-11,Thursday,Weekday
TXN100624,2025-11-28,Groceries,Dairy,139.29,Credit Card,2025-11,Friday,Weekday
TXN100878,2025-11-28,Miscellaneous,Gift,45.13,Debit Card,2025-11,Friday,Weekday
TXN100090,2025-11-29,Transportation,Metro,27.05,Net Banking,2025-11,Saturday,Weekend
TXN100156,2025-11-29,Healthcare,Lab test,100.18,Cash,2025-11,Saturday,Weekend
TXN100434,2025-11-29,Education,Books,191.09,Net Banking,2025-11,Saturday,Weekend
TXN100819,2025-11-30,Personal Care,Spa,67.44,Cash,2025-11,Sunday,Weekend
TXN100607,2025-11-30,Food & Dining,Lunch,36.1,Net Banking,2025-11,Sunday,Weekend
TXN100097,2025-11-30,Entertainment,Games,48.77,UPI,2025-11,Sunday,Weekend
TXN100145,2025-11-30,Food & Dining,Lunch,43.47,UPI,2025-11,Sunday,Weekend
TXN100413,2025-12-02,Food & Dining,Restaurant,40.26,UPI,2025-12,Tuesday,Weekday
TXN100556,2025-12-02,Food & Dining,Lunch,3.4,Cash,2025-12,Tuesday,Weekday
TXN100673,2025-12-03,Healthcare,Pharmacy,7.41,UPI,2025-12,Wednesday,Weekday
TXN100712,2025-12-03,Groceries,Supermarket,91.16,Debit Card,2025-12,Wednesday,Weekday
TXN100234,2025-12-03,Food & Dining,Fast food,10.7,Net Banking,2025-12,Wednesday,Weekday
TXN100998,2025-12-04,Personal Care,Gym,40.31,Credit Card,2025-12,Thursday,Weekday
TXN100983,2025-12-05,Groceries,Dairy,74.81,Credit Card,2025-12,Friday,Weekday
TXN100277,2025-12-06,Miscellaneous,Other,41.73,Debit Card,2025-12,Saturday,Weekend
TXN100863,2025-12-06,Transportation,Metro,25.45,Net Banking,2025-12,Saturday,Weekend
TXN100811,2025-12-06,Transportation,Fuel,10.69,Net Banking,2025-12,Saturday,Weekend
TXN100788,2025-12-06,Groceries,Vegetables,92.05,Net Banking,2025-12,Saturday,Weekend
TXN100073,2025-12-06,Groceries,Dairy,129.54,UPI,2025-12,Saturday,Weekend
TXN100280,2025-12-07,Food & Dining,Fast food,12.97,Credit Card,2025-12,Sunday,Weekend
TXN100877,2025-12-07,Miscellaneous,Donation,2.0,Debit Card,2025-12,Sunday,Weekend
TXN100320,2025-12-07,Transportation,Taxi,18.02,Credit Card,2025-12,Sunday,Weekend
TXN100159,2025-12-08,Groceries,Supermarket,70.43,UPI,2025-12,Monday,Weekday
TXN100660,2025-12-09,Food & Dining,Restaurant,35.07,Cash,2025-12,Tuesday,Weekday
TXN100303,2025-12-10,Shopping,Electronics,49.1,Debit Card,2025-12,Wednesday,Weekday
TXN100247,2025-12-11,Food & Dining,Restaurant,24.88,Debit Card,2025-12,Thursday,Weekday
TXN100126,2025-12-11,Personal Care,Salon,5.93,Net Banking,2025-12,Thursday,Weekday
TXN100200,2025-12-11,Education,Course,227.75,Debit Card,2025-12,Thursday,Weekday
TXN100516,2025-12-11,Bills & Utilities,Phone,2.62,Debit Card,2025-12,Thursday,Weekday
TXN100223,2025-12-12,Entertainment,Games,30.73,Debit Card,2025-12,Friday,Weekday
TXN100718,2025-12-12,Transportation,Metro,12.05,Net Banking,2025-12,Friday,Weekday
TXN100253,2025-12-12,Healthcare,Pharmacy,39.99,UPI,2025-12,Friday,Weekday
TXN100117,2025-12-13,Food & Dining,Coffee,38.6,Credit Card,2025-12,Saturday,Weekend
TXN100154,2025-12-14,Transportation,Fuel,26.06,Debit Card,2025-12,Sunday,Weekend
TXN100667,2025-12-14,Food & Dining,Coffee,36.13,Credit Card,2025-12,Sunday,Weekend
TXN100790,2025-12-14,Food & Dining,Lunch,38.27,Credit Card,2025-12,Sunday,Weekend
TXN100300,2025-12-14,Groceries,Supermarket,69.13,Credit Card,2025-12,Sunday,Weekend
TXN100511,2025-12-14,Personal Care,Gym,25.62,Credit Card,2025-12,Sunday,Weekend
TXN100087,2025-12-14,Healthcare,Pharmacy,105.7,Credit Card,2025-12,Sunday,Weekend
TXN100974,2025-12-15,Shopping,Electronics,50.22,Credit Card,2025-12,Monday,Weekday
TXN100140,2025-12-16,Transportation,Fuel,31.87,Debit Card,2025-12,Tuesday,Weekday
TXN100278,2025-12-16,Food & Dining,Coffee,42.75,Credit Card,2025-12,Tuesday,Weekday
TXN100451,2025-12-16,Transportation,Fuel,13.58,Debit Card,2025-12,Tuesday,Weekday
TXN100913,2025-12-16,Transportation,Fuel,29.39,Debit Card,2025-12,Tuesday,Weekday
TXN100816,2025-12-17,Transportation,Taxi,13.56,Credit Card,2025-12,Wednesday,Weekday
TXN100190,2025-12-17,Miscellaneous,Other,60.56,Credit Card,2025-12,Wednesday,Weekday
TXN100392,2025-12-17,Bills & Utilities,Phone,101.73,Cash,2025-12,Wednesday,Weekday
TXN100697,2025-12-17,Healthcare,Lab test,151.99,Debit Card,2025-12,Wednesday,Weekday
TXN100193,2025-12-18,Entertainment,Streaming,49.26,UPI,2025-12,Thursday,Weekday
TXN100410,2025-12-18,Transportation,Uber,29.78,Debit Card,2025-12,Thursday,Weekday
TXN100614,2025-12-18,Entertainment,Movie,41.12,Cash,2025-12,Thursday,Weekday
TXN100160,2025-12-19,Bills & Utilities,Phone,208.62,Debit Card,2025-12,Friday,Weekday
TXN100889,2025-12-19,Personal Care,Salon,46.85,Debit Card,2025-12,Friday,Weekday
TXN100242,2025-12-19,Groceries,Supermarket,54.8,Credit Card,2025-12,Friday,Weekday
TXN100072,2025-12-19,Bills & Utilities,Internet,138.86,UPI,2025-12,Friday,Weekday
TXN100867,2025-12-20,Food & Dining,Lunch,18.62,Cash,2025-12,Saturday,Weekend
TXN100318,2025-12-20,Transportation,Fuel,18.42,Net Banking,2025-12,Saturday,Weekend
TXN100820,2025-12-21,Personal Care,Spa,45.28,Debit Card,2025-12,Sunday,Weekend
TXN100620,2025-12-21,Transportation,Taxi,27.45,Debit Card,2025-12,Sunday,Weekend
TXN100617,2025-12-21,Transportation,Fuel,19.69,Cash,2025-12,Sunday,Weekend
TXN100682,2025-12-21,Groceries,Supermarket,74.45,Credit Card,2025-12,Sunday,Weekend
TXN100605,2025-12-23,Shopping,Clothing,7.44,Cash,2025-12,Tuesday,Weekday
TXN100500,2025-12-23,Shopping,Clothing,37.5,Debit Card,2025-12,Tuesday,Weekday
TXN100270,2025-12-23,Entertainment,Games,46.4,Debit Card,2025-12,Tuesday,Weekday
TXN100081,2025-12-23,Education,Books,100.18,Credit Card,2025-12,Tuesday,Weekday
TXN100275,2025-12-25,Entertainment,Games,27.3,Debit Card,2025-12,Thursday,Weekday
TXN100905,2025-12-25,Transportation,Uber,42.66,Net Banking,2025-12,Thursday,Weekday
TXN100023,2025-12-26,Bills & Utilities,Electricity,114.33,Credit Card,2025-12,Friday,Weekday
TXN100786,2025-12-26,Personal Care,Salon,41.35,UPI,2025-12,Friday,Weekday
TXN100294,2025-12-26,Groceries,Vegetables,77.51,Debit Card,2025-12,Friday,Weekday
TXN100037,2025-12-27,Food & Dining,Fast food,36.73,Credit Card,2025-12,Saturday,Weekend
TXN100946,2025-12-28,Entertainment,Streaming,94.19,Debit Card,2025-12,Sunday,Weekend
TXN100594,2025-12-28,Groceries,Vegetables,58.79,Debit Card,2025-12,Sunday,Weekend
TXN100860,2025-12-29,Food & Dining,Coffee,8.82,UPI,2025-12,Monday,Weekday
TXN100538,2025-12-29,Travel,Hotel,520.19,Debit Card,2025-12,Monday,Weekday
TXN100376,2025-12-29,Food & Dining,Fast food,14.36,Debit Card,2025-12,Monday,Weekday
TXN100993,2025-12-29,Groceries,Supermarket,49.09,Debit Card,2025-12,Monday,Weekday
TXN100519,2025-12-29,Food & Dining,Restaurant,15.28,Credit Card,2025-12,Monday,Weekday
TXN100971,2025-12-29,Food & Dining,Fast food,25.58,Debit Card,2025-12,Monday,Weekday
TXN100570,2025-12-30,Personal Care,Gym,37.75,Credit Card,2025-12,Tuesday,Weekday
TXN100828,2025-12-31,Groceries,Vegetables,94.58,UPI,2025-12,Wednesday,Weekday
TXN100575,2025-12-31,Shopping,Shoes,58.33,Debit Card,2025-12,Wednesday,Weekday
TXN100032,2025-12-31,Transportation,Taxi,16.02,Credit Card,2025-12,Wednesday,Weekday
TXN100615,2025-12-31,Transportation,Metro,25.55,Credit Card,2025-12,Wednesday,Weekday
TXN100378,2025-12-31,Groceries,Vegetables,108.49,Credit Card,2025-12,Wednesday,Weekday
TXN100690,2026-01-01,Food & Dining,Fast food,33.14,UPI,2026-01,Thursday,Weekday
TXN100956,2026-01-01,Healthcare,Doctor,93.43,Credit Card,2026-01,Thursday,Weekday
TXN100216,2026-01-01,Groceries,Dairy,58.19,Net Banking,2026-01,Thursday,Weekday
TXN100321,2026-01-01,Shopping,Electronics,34.31,UPI,2026-01,Thursday,Weekday
TXN100000,2026-01-02,Entertainment,Movie,55.04,Credit Card,2026-01,Friday,Weekday
TXN100508,2026-01-02,Miscellaneous,Donation,47.2,Cash,2026-01,Friday,Weekday
TXN100801,2026-01-02,Food & Dining,Restaurant,17.69,Credit Card,2026-01,Friday,Weekday
TXN100224,2026-01-02,Food & Dining,Lunch,3.92,Debit Card,2026-01,Friday,Weekday
TXN100414,2026-01-03,Food & Dining,Restaurant,39.1,Debit Card,2026-01,Saturday,Weekend
